time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/18:50:45.506372,1,1606413045,506187915,,0,0,0.0960000008345,-0.5,0.20000000298,False
2020/11/26/18:50:46.122497,2,1606413046,122133970,,0,0,0.0960000008345,-0.5,0.20000000298,False
2020/11/26/18:50:47.027513,3,1606413047,27261972,,1,7,1.0,0.0,0.0,False
2020/11/26/18:50:57.037066,4,1606413057,36737918,,1,0,0.019999999553,-0.5,0.20000000298,False
2020/11/26/18:51:58.097119,5,1606413118,96793889,,1,7,1.0,0.0,0.0,False
2020/11/26/18:52:08.107697,6,1606413128,107203960,,1,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:53:09.169035,7,1606413189,168724060,,1,7,1.0,0.0,0.0,False
2020/11/26/18:53:19.177028,8,1606413199,176721096,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:54:20.240985,9,1606413260,240719079,,1,7,1.0,0.0,0.0,False
2020/11/26/18:54:30.249715,10,1606413270,248779058,,1,2,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:55:31.315713,11,1606413331,315509080,,1,1,0.10000000149,-0.5,0.0,True
